unit_scope_question_id,development_id,review_queue_type,pass1_total_action,pass1_total_value,pass1_total_reason_code,pass1_low_income_action,pass1_low_income_value,pass1_low_income_reason_code,pass1_notes,pass1_reviewed_on,pass2_search_engine,pass2_search_url,pass2_source_title,pass2_source_type,pass2_source_url,pass2_source_coverage,pass2_published_total_units,pass2_published_total_count_type,pass2_published_low_income_units,pass2_published_low_income_count_type,pass2_notes,pass2_reviewed_on,final_total_action,final_total_value,final_total_reason_code,final_low_income_action,final_low_income_value,final_low_income_reason_code,final_notes,final_reviewed_on,source_rows_changed
UNITQ_DEV_AKA20040005,DEV_AKA20040005,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/seward/gateway-seward-associates-ltd-ptn-25246-lihtc | https://section8search.org/alaska/seward/gateway-apts/gow8yjl36xlasys7u527ntd4,"Affordable Housing Hub: GATEWAY-SEWARD ASSOCIATES, LTD PTN | Section8Search: GATEWAY APTS",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/seward/gateway-seward-associates-ltd-ptn-25246-lihtc | https://section8search.org/alaska/seward/gateway-apts/gow8yjl36xlasys7u527ntd4,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20060015,DEV_AKA20060015,multi_episode_unit_scope,candidate_use_once,12,equal_counts_with_repeat_lineage,candidate_use_once,12,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/dillingham-county/manokotak/manokotak-30481-lihtc,"Manokotak | Affordable Housing in Manokotak, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/dillingham-county/manokotak/manokotak-30481-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,12,duplicate_reporting_use_once,use_once_reporting_value,12,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20069001,DEV_AKA20069001,multi_episode_unit_scope,candidate_use_once,24,equal_counts_with_repeat_lineage,candidate_use_once,24,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/kenai,"Aurora Vista | Affordable Housing in Kenai, AK",public_property_directory,https://section8search.org/alaska/kenai,identity_only,,not_reported,,not_reported,Re-read the frozen identical_address_set source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,24,duplicate_reporting_use_once,use_once_reporting_value,24,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20069004,DEV_AKA20069004,multi_episode_unit_scope,candidate_use_once,48,equal_counts_with_repeat_lineage,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/kenai/aurora-vista-25264-lihtc,"Aurora Vista | Affordable Housing in Kenai, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/kenai/aurora-vista-25264-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,48,duplicate_reporting_use_once,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20070015,DEV_AKA20070015,multi_episode_unit_scope,candidate_use_once,24,equal_counts_with_repeat_lineage,candidate_use_once,24,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/ketchikan-gateway-county/ketchikan/carlanna-25266-lihtc,"Carlanna | Affordable Housing in Ketchikan, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/ketchikan-gateway-county/ketchikan/carlanna-25266-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,24,duplicate_reporting_use_once,use_once_reporting_value,24,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20070020,DEV_AKA20070020,multi_episode_unit_scope,candidate_use_once,33,equal_counts_with_repeat_lineage,candidate_use_once,32,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/matanuska-susitna-county/palmer/eagle-ridge-of-palmer-25267-lihtc,"Eagle Ridge of Palmer | Affordable Housing in Palmer, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/matanuska-susitna-county/palmer/eagle-ridge-of-palmer-25267-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,33,duplicate_reporting_use_once,use_once_reporting_value,32,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20100005,DEV_AKA20100005,multi_episode_unit_scope,candidate_use_once,59,equal_counts_with_repeat_lineage,candidate_use_once,51,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/anchorage/eklutna-estates-i/yqukuf6nc4i1gzdt9qy9n7fq | https://section8search.org/alaska/anchorage/eklutna-estates/owb542zoof31gvtr1lm87dy4,Section8Search: EKLUTNA ESTATES | Section8Search: EKLUTNA ESTATES I,public_property_directory,https://section8search.org/alaska/anchorage/eklutna-estates-i/yqukuf6nc4i1gzdt9qy9n7fq | https://section8search.org/alaska/anchorage/eklutna-estates/owb542zoof31gvtr1lm87dy4,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,59,duplicate_reporting_use_once,use_once_reporting_value,51,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20130092,DEV_AKA20130092,multi_episode_unit_scope,candidate_use_once,24,equal_counts_with_repeat_lineage,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/homer/harbor-ridge-homer-associates-llc-30504-lihtc,"Harbor Ridge-Homer Associates, Llc | Affordable Housing in Homer, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/kenai-peninsula-county/homer/harbor-ridge-homer-associates-llc-30504-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,24,duplicate_reporting_use_once,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20140096,DEV_AKA20140096,multi_episode_unit_scope,candidate_use_once,56,equal_counts_with_repeat_lineage,candidate_use_once,40,equal_counts_with_repeat_lineage,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/eagle-river/coronado-park-i/krui5xz7b2e5yle6duvy2ilu | https://section8search.org/alaska/eagle-river/coronado-park/rrw8x6h44kht3nqlgod9dtwb,Section8Search: CORONADO PARK | Section8Search: CORONADO PARK I,public_property_directory,https://section8search.org/alaska/eagle-river/coronado-park-i/krui5xz7b2e5yle6duvy2ilu | https://section8search.org/alaska/eagle-river/coronado-park/rrw8x6h44kht3nqlgod9dtwb,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,use_once_reporting_value,56,duplicate_reporting_use_once,use_once_reporting_value,40,duplicate_reporting_use_once,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable.,2026-08-11,FALSE
UNITQ_DEV_AKA20153001,DEV_AKA20153001,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-30411-lihtc,"Terraces At Lawson Creek | Affordable Housing in Juneau, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-30411-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20166037,DEV_AKA20166037,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/cordova/cordova-mews-associates-of-cordova-llc/g2077tyjpew0ky2f9w4z6i33,"Section8Search: CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",public_property_directory,https://section8search.org/alaska/cordova/cordova-mews-associates-of-cordova-llc/g2077tyjpew0ky2f9w4z6i33,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20171001,DEV_AKA20171001,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-30411-lihtc,"Terraces At Lawson Creek | Affordable Housing in Juneau, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-30411-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen cross_address_round2 source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20174001,DEV_AKA20174001,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://affordablehousinghub.org/housing/alaska/ketchikan-gateway-county/ketchikan/glacier-park-ketchikan-associates-ltd-partnership-30453-lihtc,"Affordable Housing Hub: GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",public_property_directory,https://affordablehousinghub.org/housing/alaska/ketchikan-gateway-county/ketchikan/glacier-park-ketchikan-associates-ltd-partnership-30453-lihtc,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
UNITQ_DEV_AKA20183002,DEV_AKA20183002,multi_episode_unit_scope,defer_outside_read,,internal_evidence_insufficient,defer_outside_read,,internal_evidence_insufficient,Read all HUD episodes and identity lineage. A repeated value is used once only when nonmissing counts agree and a full-group adjudicated review establishes duplicate reporting. The outside record corroborates physical-property identity; it does not establish numeric episode coverage.,2026-08-11,prior_review_source,https://section8search.org/alaska/nome/munaqsri-senior-associates-of-nome-llc/e917gbamjg1mqjssurbngrtb,"Section8Search: MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",public_property_directory,https://section8search.org/alaska/nome/munaqsri-senior-associates-of-nome-llc/e917gbamjg1mqjssurbngrtb,identity_only,,not_reported,,not_reported,Re-read the frozen single_address source. It supports the adjudicated property identity. No numeric claim from the earlier identity review is promoted to unit-count evidence.,2026-08-11,unavailable_after_review,,unavailable_after_search,unavailable_after_review,,unavailable_after_search,The outside identity record and internal episode lineage were read separately. Equal repeated values meeting the strict support gate are used once; all other unresolved unit scopes remain unavailable. No episode value is discarded; unavailable means that the review found no defensible static physical-development value.,2026-08-11,FALSE
